tr.no,total.tr.length
1,18.96
2,19.2
3,18.99
4,19.302
5,17.286
6,19.26
7,19.254
8,19.228
9,19.332
10,19.176
11,18.08
12,19.53
13,19.464
14,19.14
15,19.204
16,19.056
17,19.41
18,19.2
19,18.852
20,19.374
21,19.218
22,19.2
23,19.2
24,18.888
25,19.044
26,18.978
27,5.4
28,19.5
29,19.162
30,19.344
31,19.2
32,13.8
33,19.144
34,19.2
35,18.9
36,19.2
37,19.2
38,8.4
39,18.6
40,NA
41,13.23
42,22.351
43,18.902
44,19.2
45,15.99
46,19.2
47,19.158
48,19.194
49,19.182
50,13.2
51,19.308
52,19.2
53,19.416
54,NA
55,19.164
56,19.272
57,19.266
58,19.284
59,19.2
60,19.362
61,NA
62,19.23
63,19.176
64,19.018
65,19.296
66,6
67,NA
68,19.2
69,19.236
70,19.14
71,19.368
72,NA
73,19.2
74,18.498
75,19.5
76,19
77,18.38
78,NA
79,19.38
80,19.152
81,19.2
82,19.116
83,4.8
